"study","group","id","partner_id","bonus","finalprice","enjoy","age","gender","seller","nice","tough"
"one",2,"UZR8T","D2555",0.8,375,3,20,"1",1,0,0
"one",2,"D2555","UZR8T",1.2,375,5,39,"1",0,1,0
"one",4,"DFYVU","3JSMN",0.8,375,4,69,"0",1,0,0
"one",4,"3JSMN","DFYVU",1.2,375,2,19,"1",0,1,0
"one",7,"JQEPJ","73FN4",0.5,350,1,61,"0",1,0,0
"one",7,"73FN4","JQEPJ",1.5,350,2,63,"0",0,1,0
"one",9,"WZ3UX","X8DZT",0.7,370,2,51,"1",1,0,0
"one",9,"X8DZT","WZ3UX",1.3,370,2,31,"0",0,1,0
"one",10,"6GVRF","B446N",0,300,3,71,"0",1,0,1
"one",10,"B446N","6GVRF",2,300,4,29,"1",0,0,1
"one",11,"66UA7","4AZAK",0,250,3,-25,"0",1,0,1
"one",11,"4AZAK","66UA7",2.5,250,4,25,"0",0,0,1
"one",12,"E7UR4","ZJ5U6",2,500,4,26,"0",1,0,0
"one",12,"ZJ5U6","E7UR4",0,500,3,21,"0",0,1,0
"one",14,"62F9B","UHQUR",1.5,450,4,38,"1",1,0,1
"one",14,"UHQUR","62F9B",0.5,450,4,21,"0",0,0,1
"one",20,"X7P4Q","MVHDS",1,400,2,31,"0",1,0,0
"one",20,"MVHDS","X7P4Q",1,400,3,21,"0",0,1,0
"one",22,"49A2Y","7KQ6H",1,400,4,23,"1",1,0,0
"one",22,"7KQ6H","49A2Y",1,400,3,21,"1",0,1,0
"one",23,"E8DE2","S5RW8",0.3,325,1,26,"1",1,0,0
"one",23,"S5RW8","E8DE2",1.7,325,1,19,"1",0,1,0
"one",24,"CMN5C","VBD9B",0,240,3,63,"0",1,0,1
"one",24,"VBD9B","CMN5C",2.6,240,5,27,"1",0,0,1
"one",26,"74NFR","EQEM7",0.2,320,NA,NA,"",1,0,1
"one",26,"EQEM7","74NFR",1.8,320,NA,NA,"",0,0,1
"one",27,"RN8FR","3W62P",2,500,5,46,"1",1,0,0
"one",27,"3W62P","RN8FR",0,500,4,54,"0",0,1,0
"one",31,"CZ4B6","M8WZS",0.3,325,4,50,"0",1,0,1
"one",31,"M8WZS","CZ4B6",1.7,325,3,18,"0",0,0,1
"one",32,"H586W","JFQF4",1,400,1,29,"1",1,0,0
"one",32,"JFQF4","H586W",1,400,3,19,"0",0,1,0
"one",33,"PZM6X","XZBZ5",1,400,2,20,"1",1,0,1
"one",33,"XZBZ5","PZM6X",1,400,3,21,"1",0,0,1
"one",34,"QKNP6","QHRSF",1,395,2,28,"0",1,0,0
"one",34,"QHRSF","QKNP6",1,395,3,19,"0",0,1,0
"one",37,"CKJTY","BPR9V",0,300,3,29,"0",1,0,0
"one",37,"BPR9V","CKJTY",2,300,3,19,"0",0,1,0
"one",39,"3SDAH","T5MBU",2,500,4,30,"1",1,0,0
"one",39,"T5MBU","3SDAH",0,500,4,30,"1",0,1,0
"one",40,"PE43Y","ZXTRV",0.5,350,4,20,"1",1,0,1
"one",40,"ZXTRV","PE43Y",1.5,350,4,19,"0",0,0,1
"one",41,"FB6YB","93D2Z",1.5,450,4,38,"1",1,0,0
"one",41,"93D2Z","FB6YB",0.5,450,5,26,"1",0,1,0
"one",42,"QRS7K","GJ3HA",1.3,425,3,21,"1",1,0,0
"one",42,"GJ3HA","QRS7K",0.7,425,5,32,"1",0,1,0
"one",43,"22NK4","3854X",0.5,350,3,18,"1",1,0,1
"one",43,"3854X","22NK4",1.5,350,3,67,"1",0,0,1
"one",44,"Y9EEV","TGDT8",0.9,390,5,32,"1",1,0,0
"one",44,"TGDT8","Y9EEV",1.1,390,4,24,"1",0,1,0
"one",45,"2RM6J","77VXT",0,300,4,58,"1",1,0,1
"one",45,"77VXT","2RM6J",2,300,5,20,"1",0,0,1
"one",47,"6PN8Y","2DCJB",0.5,350,5,-161,"1",1,0,1
"one",47,"2DCJB","6PN8Y",1.5,350,2,21,"0",0,0,1
"one",48,"S9YDQ","75MQJ",0.7,370,5,67,"1",1,0,1
"one",48,"75MQJ","S9YDQ",1.3,370,3,21,"0",0,0,1
"one",50,"82Y5M","6D69V",2.5,550,4,56,"0",1,0,0
"one",50,"6D69V","82Y5M",0,550,1,21,"1",0,1,0
"one",51,"WC2PV","QGTQ9",0,300,4,36,"0",1,0,0
"one",51,"QGTQ9","WC2PV",2,300,2,33,"1",0,1,0
"one",52,"2R5U7","WK96S",0,NA,1,30,"1",1,0,1
"one",52,"WK96S","2R5U7",0,NA,1,51,"1",0,0,1
"one",53,"AU648","G64PM",0.5,350,5,20,"0",1,0,0
"one",53,"G64PM","AU648",1.5,350,3,23,"1",0,1,0
"one",54,"NHB76","N94JT",0.8,375,3,31,"1",1,0,1
"one",54,"N94JT","NHB76",1.2,375,3,19,"1",0,0,1
"one",55,"CU5N3","MR4J6",0.5,350,3,35,"0",1,0,1
"one",55,"MR4J6","CU5N3",1.5,350,4,22,"0",0,0,1
"one",56,"Z5EM7","XH78R",0.1,310,3,24,"1",1,0,1
"one",56,"XH78R","Z5EM7",1.9,310,NA,NA,"",0,0,1
"one",57,"SMKJ3","623QW",0,300,3,42,"1",1,0,0
"one",57,"623QW","SMKJ3",2,300,4,34,"1",0,1,0
"one",58,"FCEFJ","WZ8GT",3.5,650,4,60,"1",1,0,0
"one",58,"WZ8GT","FCEFJ",0,650,2,25,"1",0,1,0
"one",59,"ASHYS","KJAWU",0,NA,2,22,"0",1,0,0
"one",59,"KJAWU","ASHYS",0,NA,3,50,"1",0,1,0
"one",61,"YGFXA","8SUMT",0.1,310,3,53,"0",1,0,1
"one",61,"8SUMT","YGFXA",1.9,310,4,20,"1",0,0,1
"one",62,"XSNV6","RZ7ZX",0.6,360,5,58,"0",1,0,1
"one",62,"RZ7ZX","XSNV6",1.4,360,3,48,"0",0,0,1
"one",63,"6NV63","SATTP",0.5,350,4,29,"0",1,0,0
"one",63,"SATTP","6NV63",1.5,350,3,22,"1",0,1,0
"one",64,"EW6SU","NQ75N",1,400,2,28,"1",1,0,1
"one",64,"NQ75N","EW6SU",1,400,3,19,"1",0,0,1
"one",65,"26XJC","MXMTS",0.4,340,4,62,"1",1,0,0
"one",65,"MXMTS","26XJC",1.6,340,4,58,"1",0,1,0
"one",66,"2FS9Z","772B9",0.8,380,4,24,"0",1,0,1
"one",66,"772B9","2FS9Z",1.2,380,4,49,"0",0,0,1
"one",67,"U9TR6","TN4QR",0.5,350,5,65,"1",1,0,0
"one",67,"TN4QR","U9TR6",1.5,350,3,69,"0",0,1,0
"one",68,"TWU3E","N9FWP",0,NA,3,20,"0",1,0,1
"one",68,"N9FWP","TWU3E",0,NA,1,31,"1",0,0,1
"one",69,"H5FHG","WUU4J",0.2,320,NA,NA,"",1,0,0
"one",69,"WUU4J","H5FHG",1.8,320,NA,NA,"",0,1,0
"one",70,"VWHZY","NZSAU",1.5,450,3,40,"0",1,0,0
"one",70,"NZSAU","VWHZY",0.5,450,4,30,"1",0,1,0
"one",71,"64Y2S","Z3FV4",1.5,450,4,51,"0",1,0,1
"one",71,"Z3FV4","64Y2S",0.5,450,4,21,"1",0,0,1
"one",73,"8AECH","GWJVG",1,400,2,53,"0",1,0,0
"one",73,"GWJVG","8AECH",1,400,3,48,"0",0,1,0
"one",74,"8XNCK","XFNG8",1,400,3,22,"0",1,0,1
"one",74,"XFNG8","8XNCK",1,400,5,48,"0",0,0,1
"one",75,"UG8W5","AAAY8",0.8,375,2,18,"1",1,0,0
"one",75,"AAAY8","UG8W5",1.2,375,4,39,"0",0,1,0
"one",76,"N5BQ9","3U7PK",0.2,320,1,50,"0",1,0,1
"one",76,"3U7PK","N5BQ9",1.8,320,1,21,"1",0,0,1
"one",77,"SCE9N","HC73Q",0.6,360,2,21,"1",1,0,1
"one",77,"HC73Q","SCE9N",1.4,360,5,19,"0",0,0,1
"one",78,"Z4S7Y","JD97P",1.4,440,4,20,"0",1,0,0
"one",78,"JD97P","Z4S7Y",0.6,440,4,20,"1",0,1,0
"one",79,"U7BAH","UXYDZ",0.9,390,3,36,"0",1,0,0
"one",79,"UXYDZ","U7BAH",1.1,390,5,35,"1",0,1,0
"one",81,"DFUGX","47GU8",1,400,4,34,"1",1,0,0
"one",81,"47GU8","DFUGX",1,400,4,29,"1",0,1,0
"one",82,"CFDZ6","E9HRY",1,400,3,22,"0",1,0,0
"one",82,"E9HRY","CFDZ6",1,400,3,22,"1",0,1,0
"one",86,"WXHH5","NQZZ3",1,400,4,21,"1",1,0,1
"one",86,"NQZZ3","WXHH5",1,400,4,19,"1",0,0,1
"one",87,"BJJ9K","NU5PS",1.3,425,4,27,"1",1,0,0
"one",87,"NU5PS","BJJ9K",0.7,425,3,21,"1",0,1,0
"one",88,"DAZFF","QH2MH",0.7,373,4,43,"1",1,0,1
"one",88,"QH2MH","DAZFF",1.3,373,3,22,"0",0,0,1
"one",90,"958FQ","4FU5Z",1,400,3,19,"1",1,0,1
"one",90,"4FU5Z","958FQ",1,400,3,29,"1",0,0,1
"one",91,"XWGBJ","VYAFM",0.3,325,3,27,"0",1,0,1
"one",91,"VYAFM","XWGBJ",1.7,325,2,20,"0",0,0,1
"one",92,"TNWCH","4NUTE",1.3,425,3,30,"0",1,0,0
"one",92,"4NUTE","TNWCH",0.7,425,3,36,"0",0,1,0
"one",93,"B4U7P","M4582",0.5,350,3,47,"1",1,0,0
"one",93,"M4582","B4U7P",1.5,350,4,19,"0",0,1,0
"one",94,"7RUNZ","MEQYH",0,275,3,61,"0",1,0,1
"one",94,"MEQYH","7RUNZ",2.2,275,4,75,"1",0,0,1
"one",98,"WJN4W","ZH6JA",1.3,425,5,19,"1",1,0,0
"one",98,"ZH6JA","WJN4W",0.7,425,2,32,"0",0,1,0
"one",99,"A69BS","H3ZVP",0,250,5,28,"1",1,0,0
"one",99,"H3ZVP","A69BS",2.5,250,3,24,"0",0,1,0
"one",100,"UTW5X","MXKWY",0,300,5,27,"0",1,0,1
"one",100,"MXKWY","UTW5X",2,300,4,60,"1",0,0,1
"one",101,"WHMQ5","6KTPH",0.1,310,4,57,"Male",1,0,1
"one",101,"6KTPH","WHMQ5",1.9,310,2,28,"1",0,0,1
"two",97,"8MSAH ","ZH4TF ",1.3,425,3,26,"1",1,0,1
"two",97,"ZH4TF ","8MSAH ",0.7,425,2,23,"0",0,0,1
"two",87,"YE5G7 ","XKF7A ",0,290,4,22,"0",1,1,0
"two",87,"XKF7A ","YE5G7 ",2.1,290,5,26,"1",0,1,0
"two",17,"U45SV ","W8YYW ",0.4,340,1,20,"1",1,0,1
"two",17,"W8YYW ","U45SV ",1.6,340,3,22,"1",0,0,1
"two",111,"NUVBM ","E5BG7 ",0.8,375,4,20,"0",1,1,0
"two",111,"E5BG7 ","NUVBM ",1.2,375,2,22,"0",0,1,0
"two",100,"NRRBM ","58QF4 ",0.5,350,3,27,"0",1,0,1
"two",100,"58QF4 ","NRRBM ",1.5,350,4,60,"1",0,0,1
"two",108,"6RSAK ","8HF2Q ",0,300,3,34,"0",1,0,1
"two",108,"8HF2Q ","6RSAK ",2,300,5,22,"1",0,0,1
"two",67,"A8VN7 ","H5AWN ",0.6,360,3,70,"0",1,1,0
"two",67,"H5AWN ","A8VN7 ",1.4,360,5,22,"0",0,1,0
"two",103,"TEW5C ","EWSYP ",0,300,4,28,"1",1,0,1
"two",103,"EWSYP ","TEW5C ",2,300,5,26,"1",0,0,1
"two",124,"3CMXK ","BZACV ",0.5,350,4,19,"1",1,0,1
"two",124,"BZACV ","3CMXK ",1.5,350,3,21,"1",0,0,1
"two",114,"YBV7V ","R7RXA ",0,300,5,23,"1",1,0,1
"two",114,"R7RXA ","YBV7V ",2,300,3,20,"1",0,0,1
