"text","group","id","time","partner_id","turn","seller","study","study_group","span","timeFraction"
"Hello, I'm looking to purchase your beautiful sugar bowl. I've wanted this piece since I was a child; I'm willing to offer 250 in cash.",2,"D2555","0","UZR8T",1,0,"one","one_2",0,0
"I'm glad you're interested in my bowl. This is a very high-quality, handmade bowl made in New England in the 17th century. Therefore, I'll gladly sell you this bowl for $450.",2,"UZR8T","0","D2555",2,1,"one","one_2",10,0.0129032258064516
"Would you like to buy my bowl for $450? ",2,"UZR8T"," 4:19:34 PM ","D2555",3,1,"one","one_2",20,0.0258064516129032
"I understand wholeheartedly that you want to get the most money you can get out of it, but the sentimental value of it completes a set I had had as a child. I can't afford anything close to what you are asking at this time; the best I can do is $280. Please consider this as the holidays are around and it would be soo apreciated. Hope to hear from you soon. ||Best Wishes. ",2,"D2555"," 4:21:33 PM ","UZR8T",4,0,"one","one_2",139,0.179354838709677
"Since this is a very popular item and I have many other interested buyers, I'm afraid your offer of $280 is not the highest offer. However, I can offer the bowl to you for $410, which is a very good deal for this exquisite item. ",2,"UZR8T"," 4:24:09 PM ","D2555",5,1,"one","one_2",295,0.380645161290323
"Yes, I understand, it's just the pricing is too much for me to take on at this moment. I have 2 children, and with the holidays approaching their needs have to be met first; my final offer is 300. Please consider my last and final offer. Thank you. ",2,"D2555"," 4:26:33 PM ","UZR8T",6,0,"one","one_2",439,0.566451612903226
"Since I understand that finances are very tight around this time of year, I can offer the bowl to you for $400. Going any lower than that could hurt my reputation as an antiques dealer. ",2,"UZR8T"," 4:27:46 PM ","D2555",7,1,"one","one_2",512,0.660645161290323
"Could we possibly meet in the middle at 350? Again, this is such a stretch for me.",2,"D2555"," 4:29:16 PM ","UZR8T",8,0,"one","one_2",602,0.776774193548387
"You seem like a very kind person and I can tell that this bowl means a lot to you and your family. Therefore, I will offer it to you for $375. This is certainly not an ideal selling price for me, but I do occasionally make exceptions for loyal customers. ",2,"UZR8T"," 4:30:55 PM ","D2555",9,1,"one","one_2",701,0.904516129032258
"375, done. ||Thank you soo much. ",2,"D2555"," 4:31:08 PM ","UZR8T",10,0,"one","one_2",714,0.921290322580645
"Wonderful! Enjoy your beautiful bowl. ",2,"UZR8T"," 4:31:25 PM ","D2555",11,1,"one","one_2",731,0.943225806451613
"It's greatly appreciated. ||Thank you again.",2,"D2555"," 4:31:35 PM ","UZR8T",12,0,"one","one_2",741,0.956129032258065
"Thank you! ",2,"UZR8T"," 4:32:09 PM ","D2555",13,1,"one","one_2",775,1
"Hi, I would like to buy the beautiful sugar bowl you have on sale, and I would be more than happy to offer $250 for it.  Thank you. ",4,"3JSMN","0","DFYVU",1,0,"one","one_4",0,0
"Not a chance.",4,"DFYVU","0","3JSMN",2,1,"one","one_4",10,0.0363636363636364
"Hi, what price are you looking to sell the sugar bowl at? ",4,"3JSMN"," 4:16:27 PM ","DFYVU",3,0,"one","one_4",20,0.0727272727272727
"$375 is more than fair, with the price of silver alone. Makes it a bargain. ",4,"DFYVU"," 4:18:16 PM ","3JSMN",4,1,"one","one_4",129,0.469090909090909
"I would be willing to offer $350. ",4,"3JSMN"," 4:18:39 PM ","DFYVU",5,0,"one","one_4",152,0.552727272727273
"I'm firm, so you have the opportunity to confirm the recent price levels of silver.",4,"DFYVU"," 4:19:38 PM ","3JSMN",6,1,"one","one_4",211,0.767272727272727
"Okay, I would be willing to pay $375 for the sugar bowl. ||*willing ",4,"3JSMN"," 4:20:10 PM ","DFYVU",7,0,"one","one_4",243,0.883636363636364
"Thank you, enjoy. ",4,"DFYVU"," 4:20:32 PM ","3JSMN",8,1,"one","one_4",265,0.963636363636364
"Thank you. ",4,"3JSMN"," 4:20:42 PM ","DFYVU",9,0,"one","one_4",275,1
"Hello, I am interested in buying the sugar bowl for $250.00, Thanks",7,"73FN4","0","JQEPJ",1,0,"one","one_7",0,0
